id,sno,state,city,format_type,store_code,store_name,company_name,gst_in,state_code,address,superwisor,coordinator,afm,ship_ddress,ship_name,ship_state,ship_gst,costcenter
,154,Telangana,Mancherial,Smart Point,FR7A,Hitech colony,Reliance Projects & Property Management Services Limited,36AAJCR6636B1ZD,36,"H.No:3-367,Plot-35 & 51, Survey-366 To 368 ,371 To 375 & 396, Hitech City, Mancherial - 504208",M Shivaji,M Shivaji,Katukoori Sairam,"H.No:3-367,Plot-35 & 51, Survey-366 To 368 ,371 To 375 & 396, Hitech City, Mancherial - 504208",Reliance Projects & Property Management Services Limited,Telangana,36AAJCR6636B1ZD,Mancherial
,155,Telangana,Peddapalli,Smart Point,FR7V,Peddapalli,Reliance Projects & Property Management Services Limited,36AAJCR6636B1ZD,36,"Plot No. 1 & 2, SY NO.614,OPP. Government Hospital, Peddapalli- 505172",M Shivaji,M Shivaji,Katukoori Sairam,"Plot No. 1 & 2, SY NO.614,OPP. Government Hospital, Peddapalli- 505172",Reliance Projects & Property Management Services Limited,Telangana,36AAJCR6636B1ZD,Peddapalli
,156,Telangana,Kagaznagar,Smart Point,FR7Z,Kagaz Nagar,Reliance Projects & Property Management Services Limited,36AAJCR6636B1ZD,36,"House No. 1-6-550/5, SY NO. 147/2,Beside Venkatramana Theatre Main Road - 504296",M Shivaji,M Shivaji,Katukoori Sairam,"House No. 1-6-550/5, SY NO. 147/2,Beside Venkatramana Theatre Main Road - 504296",Reliance Projects & Property Management Services Limited,Telangana,36AAJCR6636B1ZD,Kagaznagar
,157,Telangana,Mancherial,Smart Point,FR8D,Mancherial,Reliance Projects & Property Management Services Limited,36AAJCR6636B1ZD,36,"10-67/1(Old)No.10-199,10-200,10-201(New), Hyderabad Road, Mancherial - 504208",M Shivaji,M Shivaji,Katukoori Sairam,"10-67/1(Old)No.10-199,10-200,10-201(New), Hyderabad Road, Mancherial - 504208",Reliance Projects & Property Management Services Limited,Telangana,36AAJCR6636B1ZD,Mancherial
,158,Telangana,Karim Nagar,Mall Management,M031,Karim Nagar,Reliance Projects & Property Management Services Limited,36AAJCR6636B1ZD,36,"Near SRR Degree college,Jagityala road,Karimnagar (Telangana), Pin. 505001",T Srinivas,T Srinivas,Katukoori Sairam,"Near SRR Degree college,Jagityala road,Karimnagar (Telangana), Pin. 505001",Reliance Projects & Property Management Services Limited,Telangana,36AAJCR6636B1ZD,Karim Nagar
,159,Telangana,Siddipet,METRO,T2IY,Siddipet Metro,Reliance Projects & Property Management Services Limited,36AAJCR6636B1ZD,36,"Central Warehouse, Ganesh Nagar, Siddipet, Telangana, 502103",Ravi Kumar,Ravi Kumar,Katukoori Sairam,"Central Warehouse, Ganesh Nagar, Siddipet, Telangana, 502103",Reliance Projects & Property Management Services Limited,Telangana,36AAJCR6636B1ZD,Siddipet
,160,Telangana,Siddipet,Jewells,T1XG,Shivaji Nagar,Reliance Projects & Property Management Services Limited,36AAJCR6636B1ZD,36,"Reliance Jewels, Ground Floor, H-N-11-145, Siddipet Town, Siddipet Dist. Telangana 502103",Ravi Kumar,Ravi Kumar,Katukoori Sairam,"Reliance Jewels, Ground Floor, H-N-11-145, Siddipet Town, Siddipet Dist. Telangana 502103",Reliance Projects & Property Management Services Limited,Telangana,36AAJCR6636B1ZD,Siddipet
,161,Telangana,Karim Nagar,METRO,T2JT,Karim nagar Metro,Reliance Projects & Property Management Services Limited,36AAJCR6636B1ZD,36,"973982 Door No 9 2 689 2 56To59, 61To67Godamgadda Bhagat Nagar,505002",Ravi Kumar,Ravi Kumar,Katukoori Sairam,"973982 Door No 9 2 689 2 56To59, 61To67Godamgadda Bhagat Nagar,505002",Reliance Projects & Property Management Services Limited,Telangana,36AAJCR6636B1ZD,Karim Nagar
,162,Telangana,Karim Nagar,Digital,T52P,Jubilee Kaman,Reliance Projects & Property Management Services Limited,36AAJCR6636B1ZD,36,"RRL CDIT-Karimnagar,H.No. 8 – 5 403/3, 8, 9 12 and Survey No.451,the Building situated at Jubilee Kaman Circle,Karimnagar Town District Telangana-505001",Ravi Kumar,Ravi Kumar,Katukoori Sairam,"RRL CDIT-Karimnagar,H.No. 8 – 5 403/3, 8, 9 12 and Survey No.451,the Building situated at Jubilee Kaman Circle,Karimnagar Town District Telangana-505001",Reliance Projects & Property Management Services Limited,Telangana,36AAJCR6636B1ZD,Karim Nagar
,163,Telangana,Siddipet,Trends,T563,Siddipet,Reliance Projects & Property Management Services Limited,36AAJCR6636B1ZD,36,"ADJ BUS STAND, SIDDIPETA TOWN & DISTRICT",Ravi Kumar,Ravi Kumar,Katukoori Sairam,"ADJ BUS STAND, SIDDIPETA TOWN & DISTRICT",Reliance Projects & Property Management Services Limited,Telangana,36AAJCR6636B1ZD,Siddipet
,164,Telangana,Karimnagar,Centro Shoes,T9HX,Centro Shoes,V Retail Limited,36AACCV9907G1Z2,36,"Ground & First Floor, K.M.C. No. 2-6-307, Hotel Manair Complex, IB Rd, Beside MAX, Mukarampura, Karimnagar, Telangana 505001,",Ravi Kumar,Ravi Kumar,Katukoori Sairam,"Ground & First Floor, K.M.C. No. 2-6-307, Hotel Manair Complex, IB Rd, Beside MAX, Mukarampura, Karimnagar, Telangana 505001,",V Retail Limited,Telangana,36AACCV9907G1Z2,Karimnagar
,165,Telangana,KHAGAZNAGAR,Trends Small Town,T9XA,KHAGAZNAGAR TST,Reliance Projects & Property Management Services Limited,36AAJCR6636B1ZD,36,"Reliance Retail Limited Trends Express GF Ff H No:- 1-16-334 Sy No-138 Komaram Bheem Asifabad Kaghaznagar, Telangana-504296",M Shivaji,M Shivaji,Katukoori Sairam,"Reliance Retail Limited Trends Express GF Ff H No:- 1-16-334 Sy No-138 Komaram Bheem Asifabad Kaghaznagar, Telangana-504296",Reliance Projects & Property Management Services Limited,Telangana,36AAJCR6636B1ZD,KHAGAZNAGAR
,166,Telangana,Karim Nagar,Zivame,TAPP,Reliance Mall,Reliance Projects & Property Management Services Limited,36AAJCR6636B1ZD,36,"Store No . RSS 02 ( Floor No . GF ) Reliance Mega, Nr. S R R Degree College, Jagityala  Road, Karimngar- 505001.",T Srinivas,T Srinivas,Katukoori Sairam,"Store No . RSS 02 ( Floor No . GF ) Reliance Mega, Nr. S R R Degree College, Jagityala  Road, Karimngar- 505001.",Reliance Projects & Property Management Services Limited,Telangana,36AAJCR6636B1ZD,Karim Nagar
,167,Telangana,Husnabad,Trends Small Town,TFZ3,Husnabad,Reliance Projects & Property Management Services Limited,36AAJCR6636B1ZD,36,"Trends Small Town, Reliance Retail Limited, D.no. 12-84, Near Bhanu Hospital,
Hanmakonda Road, Husnabad, Karimnagar Dist., Telangana - 505467
",Ravi Kumar,Ravi Kumar,Katukoori Sairam,"Trends Small Town, Reliance Retail Limited, D.no. 12-84, Near Bhanu Hospital,
Hanmakonda Road, Husnabad, Karimnagar Dist., Telangana - 505467
",Reliance Projects & Property Management Services Limited,Telangana,36AAJCR6636B1ZD,Husnabad
,168,Telangana,Machiryala,Digital,TH21,Machiryala,Reliance Projects & Property Management Services Limited,36AAJCR6636B1ZD,36,"Reliance Retail Limited,Ground / First Floor Sy No 54/A1,Naspur Village Mancherial Town & Mandal,Mancherial District Telangana.Mancherial-504208",M Shivaji,M Shivaji,Katukoori Sairam,"Reliance Retail Limited,Ground / First Floor Sy No 54/A1,Naspur Village Mancherial Town & Mandal,Mancherial District Telangana.Mancherial-504208",Reliance Projects & Property Management Services Limited,Telangana,36AAJCR6636B1ZD,Machiryala
,169,Telangana,Peddapalli,Trends,TKC4,Peddapalli,Reliance Projects & Property Management Services Limited,36AAJCR6636B1ZD,36,"Opp bus stand area,Peddapalli Telangana -505172",M Shivaji,M Shivaji,Katukoori Sairam,"Opp bus stand area,Peddapalli Telangana -505172",Reliance Projects & Property Management Services Limited,Telangana,36AAJCR6636B1ZD,Peddapalli
,170,Telangana,Adilabad,Smart,TKX3,Naspur,Reliance Projects & Property Management Services Limited,36AAJCR6636B1ZD,36,"Smart Naspur, Sy No. 94, Naspur Village, Mancherial Mandal & District, Adilabad - Telangan, Mancherial Mandal & District, Adilabad - Telangana 504302",M Shivaji,M Shivaji,Katukoori Sairam,"Smart Naspur, Sy No. 94, Naspur Village, Mancherial Mandal & District, Adilabad - Telangan, Mancherial Mandal & District, Adilabad - Telangana 504302",Reliance Projects & Property Management Services Limited,Telangana,36AAJCR6636B1ZD,Adilabad
,171,Telangana,Mancherial,Trends,TN03,Mancherial,Reliance Projects & Property Management Services Limited,36AAJCR6636B1ZD,36,"RRL Trends Mancherial,Reliance Retail Limited,D.No.4-540 (Old D.No.4-75),Sy.No.88 Besides : BSNL Compound,Mancherial Town & Dist-504208,MANCHERIAL",M Shivaji,M Shivaji,Katukoori Sairam,"RRL Trends Mancherial,Reliance Retail Limited,D.No.4-540 (Old D.No.4-75),Sy.No.88 Besides : BSNL Compound,Mancherial Town & Dist-504208,MANCHERIAL",Reliance Projects & Property Management Services Limited,Telangana,36AAJCR6636B1ZD,Mancherial
,172,Telangana,Ramgundam,Trends,TSQ9,Ramagundam,Reliance Projects & Property Management Services Limited,36AAJCR6636B1ZD,36,"RRL Trends Ramagundam,H No 5-6-114115116&117, SY Nos259/A & 261 Rajeev High Way, Krishna Nagar, Ramagundam town, PEDDAPALLI,Telangana,Pin code: 505209",M Shivaji,M Shivaji,Katukoori Sairam,"RRL Trends Ramagundam,H No 5-6-114115116&117, SY Nos259/A & 261 Rajeev High Way, Krishna Nagar, Ramagundam town, PEDDAPALLI,Telangana,Pin code: 505209",Reliance Projects & Property Management Services Limited,Telangana,36AAJCR6636B1ZD,Ramgundam
,173,Telangana,Luxetipet,Trends Small Town,TTD4,Luxetipet,Reliance Projects & Property Management Services Limited,36AAJCR6636B1ZD,36,"RRL TST Luxettipet,RRL TST Luxettipet,Sy Nos 271 271A2,Uthkoor Village Shivar,Luxettipet Dist Mancherial,LUXETTIPET-LUXETTIPET",M Shivaji,M Shivaji,Katukoori Sairam,"RRL TST Luxettipet,RRL TST Luxettipet,Sy Nos 271 271A2,Uthkoor Village Shivar,Luxettipet Dist Mancherial,LUXETTIPET-LUXETTIPET",Reliance Projects & Property Management Services Limited,Telangana,36AAJCR6636B1ZD,Luxetipet
,174,Telangana,Siddipet,SP Pharma SIS,TTP7,NGO Colony,Reliance Retail Ventures Limited,36AADCR6715M1Z0,36,H No 18 14 119 on Ground Floor situate in Siddipet Town Mandal and Dist Hyderabad 502103 Telangana,Ravi Kumar,Ravi Kumar,Katukoori Sairam,H No 18 14 119 on Ground Floor situate in Siddipet Town Mandal and Dist Hyderabad 502103 Telangana,Reliance Retail Ventures Limited,Telangana,36AADCR6715M1Z0,Siddipet
